ID,Comments
45,"The way that police woman ran and forgot she was a cop, probably got her job only to fill the quota. She has no bussiness being a cop. Still not her fault though and i hope she recovers fully and learn from this encounter."
46,"Oh no, now sheâ€™ll have to pick up a shift (sit in the parking lot for 12 hrs) so she can pay to replace her weave."
47,"That's what your get all over the country, when Trump is president again."
48,All Feminists should see this video.
49,NY PD is the worst in the nation. They roll around like a bunch of jack boot thugs and people are getting tired of there s***.
50,Cops are getting attacked because of the corrupt sh!t they do.
51,Why is the female officer running away?leaving her colleague.
52,"the female cop ran off, do you want her to protect you"
53,OMG she runs away instead of helping the arrest .This is why it's not a woman's job .
54,New York is a liberal cesspool of $&@!!!
55,"I'm surprised the people in the comment section aren't saying ""it was self-defense"""
56,"Yeah, you have NEW YORK!!!!! The ONLY place worse than NY tgese days is Chicago!!!!!!! Imagine that!!!ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ¤¦ðŸ¾"
57,"Ruuunnn ðŸ˜‚
 i guess that what you learn in police academy ðŸ¤£"
58,how this is shocking . shocking is how us police treat peopel americans hehehehehehe
59,ðŸ˜‚ðŸ˜‚ðŸ˜‚ why she run shes the police...do your job.
60,Garcia. Yea that sounds about right. This is what NY voted for. This is what NY gets. Ainâ€™t no sympathy.
61,And then i seen her go running
62,& she ranâ€¦. Dont make girls copsâ€¦.
63,I wouldnt wanna be a male police officer if i had a female partner that runs away when stuff happens. Men should actually quit the force and let w0men deal with it if thats gonna be the work conditions.
64,Only thing that black woman cared about was her hair
65,"Let me guess, they were ASYLUM SEEKERS!? Prayers for this poor man. This world is becoming such a ugly place anymore, heartbreaking.ðŸ™"
66,Thinking that another human with a badge should be able to dictate your life and extort you for money for doing petty things such as 80mph on the highway..Is mental illness.
67,The woman cop ran away after she got hit. Leaving her partner by himself. Unbelievable.
68,"my friend moved to NY he belived all this shit on social media about new york and shit he came back to Wisconsin broke and crackhead so fk NY and Jay,Z SONG"
69,The cop was attack
70,NYPD officer was attack
71,What the officer that the suspect could nada watch that nada that nada the knife nada nada nada that nada 78-year-old woman that the the knife nada nada nada that no keep put your hands nada nada watch nada the police officer who had nada thqt in the officer nada
72,put your hands on unarmed civilians.
73,"The guy very obviously punched first. You can hear it hit right before the officer starts punching. Iâ€™m so sick of these media people lying to everyone. In my opinion, that doesnâ€™t seem like the best way for the officer to handle that, but that doesnâ€™t mean you can lie reporter."
74," a push or a jab that the guy gave the cop just before the cop punched him? My impression is that the cop took it as a jab and felt justified in throwing punches back. You could see that it was the moment he was waiting for, when he could justifiably 'defend himself'."
75,"THE CAMERAMAN KEEPS SCREAMING ""I GOT EVERYTHING ON CAMERA!""--AS IF THE VIDEO WON'T SHOW THAT THE SUSPECT CONTINUALLY SHOVED THE OFFICER AND TRIED TO FLEE THE SCENE BEFORE GETTING PUNCHED IN THE FACE AND TURNING INTO A BABY GIRL RIGHT THERE IN THE MIDDLE OF THE STREET... THANKS FOR FILMING, KNUCKLEHEAD!"
76,That's better then shoot him
77,ðŸ˜® Police Abuse ðŸ˜® Intimidate the poor guy in red shirt ðŸ˜®ðŸ˜®Not Right ðŸ˜®
78,Bruh the fact that the nypd police commissioner said that he didnâ€™t see anything wrong is disturbing because that man that pig threw the first punch like what do you mean
79,THE COPS GOT FIRED LOL
80,"Something tells me..... "" this is some bulls*** "" and he "" got everything on camera """
81,Does he have everything on cameraðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚
82,He obviously is holding illegal substances and CNN is protecting drug dealing thieves
83,"To me itâ€™s still some bs , cop or not donâ€™t push me or hit me , yall will just let the police do anything to yâ€™all scary ass"
84,"Some of these officers I swear, and our taxes pay for their pension smh"
85,That cop was out of line and likely has anger management issues. It's like he took his personal problems that were all bundled up inside of him and just let loose on this guy to release his own tension. He should be ashamed of himself and his partner should be charged because he try hard enough to get psycho-cop off of the man.
86,"@Phil Mccracken 
 Can you show me a video (other than this because the cop resigned) of a black police officer brutalizing a black civilian."
87,"Ok this might be bad but this is really effective for cops, wrestling isn't effective against bigger people ðŸ˜‚"
88,Looked like the office was acting in self defense to me.
89,He shouldâ€™ve been fired and not given the option of resigning for that unprovoked attack on that man. Him and his partner should be arrested and charged with crimes and prosecuted to the max
90,That cop watched too much JoJo's Bizarre Adventure ðŸ’€
91,if a cop really wants to fight you he would take off his badge and duty belt ( or at least his gun) this way the law considers him not in uniform and a regular citizen so when you swing back its mutual combat they dont do that so they can swing on you and send you to jail
92,Notice how Black on Black crime dosent get Any attention in the medias? But White on Black tho
93,The other cop was like your done this is bs
94,Resigns? He was allowed to resign as opposed to being fired?
95,Resgned? He should be locked up for assault
96,That cop has target on his back now
97,they call u crazy to make u homocide
98,Citizens should have the right to protect themselves against cops
99,Black cop is the worse
100,"the bipocs always want to fight the cops until the actual second the fight starts, then its all crying ""police brutality! i have a medical condition! help help help!"" like some scared little boy"
101,They always say take your badge off and this time ol boi beat the brakes off dude
102,Wonder what department officer pillow hands is working for now.
103,Can't see any love here!
104,"Imagine if that Cop was white!
 BLM would start 3rd WW"
105,"But if anybody stepped in to stop that abuse, they would go to jail for hitting a cop"
106,Cop definitely got bullied in high school
107,The law should allow for citizens to fight back.
108,What are the intelligence requirements to become a police officer?
109,Know whats great? Can not blame the white man ðŸ˜…ðŸ˜‚
110,Friendly fire will not be tolerated.
111,"Its funny because now it is just a policeman who hits a guy. But if that policeman was white, than it would have been a racist thing ðŸ§"
112,Black cops are the worst to their own kind what Else is new!
113,No one hits back... THAT IS the Problem
114,Brah...for something like this to happen to youðŸ‘ˆ that's how you know the how term ðŸ”¥HOTBOYðŸ”¥came from.
115,the U.N. sentenced Bush as a War Criminal who committed genocide. that behhoves me.
116,Resigns? How about an Assault and Battery charge?
117,"Um, would BLM work for this, too? ðŸ˜‚"
118,Resign cannot make you run
119,"To be fair, if someone in pink shorts was shouting at my, i might react the same way"
120,Cop thinks he was so hard... bro know if he hit back it would get worse
121,That cop got picked on in high school
122,thanks for leaving out what started this altercation between this cop and this university student just on his way to his sick grandma...
123,I bet BLM doesn't protest this one.
124,He cannot fight lol
125,"Im black and I'm going to say it.... black cops violate black peoples rights worst than ehite cops. White cops are wrong in their interactions with black people but black cops might as well be Gestapo. Im convinced cops know the laws, they choose to ignore the laws and play dumb."
126,"Video can only be used for court.
 Showing this video is an offence."
127,black so no riots.....
128,What do you mean he got to resign??!! Wasn't he charged and jailed? Where is he now??!
129,Back to wellfare and snitchin boy
130,"Warms my heart, it does"
131,That cop should be in prison
132,"Freaking cowards, none of yall helped!!!"
133,He has no business being a public servant he should be in prison ðŸ¤¾
134,Of course the cop is black... hooligans fr
135,Too much darkness
136,The footage was fine the strong language is where it becomes offensive
137,That's why black cops should be in black neighborhoods ðŸ˜®
138,Nah nah nah don't put your gangster away cuz this ain't racism on this caseðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚
139,I hate the
140,You could tell that cop was a wrong â€˜un by his socks.
141,That officer got some serious hands!!!!!
142,"sometimes actions arn't made because of a system, most of the time in fact these kinds of things happen because the cop just wanted to."
143,Notice how the other cop tries to stop his colleague from beating the guy
144,"I dont understand what the officer did wrong, he was forced to defend himself against a violent vile human being."
145,0:09. We really do not like seeing cops using excessive force!ðŸ˜
146,Whatâ€™s up with the girly bright pink shorts?
147,"_'PoliceActivity' is not Monetized. To help keep the channel going, please consider supporting on_ Patreon.com/PoliceActivity _or_ BuyMeACoffee.com/PoliceActivity"
148,His pants are on crack
149,He won't be fighting Mike Tyson anytime soon.
150,Demoncrat run shit hole!
151,50 year old acting like a 21 year old going no where in life
152,"Remember when cops carroed bog ole black billy clubs and they would bist your head. I do , and im white. Yahh that was part of my white privledge to git thumped by one when i was an idiot. Then my white privledged earned me an elevster ride at the old 4th avenue jaoll in downtown phoenix , and i believe most you folks kno what happens in an elevater . Yes the white guy falls againts the walls of the elevater multiple times amd also slips and falls against many fists and then is charged with assaulting an officer. I used to jate them complimentry elevater rides"
153,Isn't the tazer the best weapon to momentarily stop a guy before going full hands-on mma?
154,Working for a city that hates your guts and wants to see you dead.
155,We're was the fight
156,Thatâ€™s not fighting itâ€™s just slightly resisting arrest
157,Seattleâ€¦such a beautiful city to avoid!
158,Support your Pigliceman ! ðŸ˜…ðŸ˜…
159,That rainbow in the window sets the mood
160,He should be grateful to them because they could have fired long ago
161,"Hahaha man best thing about being a cop, is probably getting down with some scraps â€œfull respect after taking a few licksâ€ definitely wouldnâ€™t want to press extra charges if I were to agree to the fight."
162,LOL that's Seattle for you
163,"Que 12.30pm nada that October 10, 2023 12.30pm will nada the officer nada watch nada there up stop nada 78-year-old woman who had a great place the suspect that Seattle fire department was nada"
164,What the officer that watch âŒš today was up stop by the suspect that nada nada that nada that 12-year-old woman that could that the shooting could nada nada that nada Seattle fire department that that nada that nada that news that nada the officer watch time the suspect that nada nada that nada that yes sir nada that nada that nada Seattle city police department that nada that nada
165,Another stable genius bites the dust. ðŸ˜‚
166,"Where's Jesse, al and naacp? Protect this brother from the system!"
167,"A message for all cops ðŸ‘®â€â™€ï¸
 If youâ€™ve been called to arrest an assault suspect, be prepared they may assault you"
168,Just proof that jay inslee has pussified the police in seattle
169,I noticed that guy running had big bruises on his side stomach dont they have mental health workers to work with the homless on streets .?
170,That in my court room would be 5 years mandatory.
171,I cant breathe!!
172,"We need to stop disobeying authorities and using race cards, police do their jobs and suspects fight back that they have to use extra force and it does end well and who is to blame? Cops, itâ€™s ridiculous"
173,He's much better at pretending to know how to fight than actually fighting
174,You voted for this Seattle.......Enjoy the smell in the barn you built.
175,Seattle police have the criminals and the politicians to fight
176,This city is like watching Batman were criminals just run the area
177,There will still be people blaming the cops for being heavy handed
178,"lmao is that what you call ""fighting"". seattle , what a ruined city. "
179,Get off his neck get off his neck ðŸ˜‚
180,"Man, you canâ€™t put the knee on the neck."
181,"Phone a 100 states or listen on the Los Angeles state. A 100 only 50 will be good, though the 50 will be bad. If 1000 police, only 500 will be good, 500 will be very bad. Thatid1878 s the way it is, and is the truth."
182,Well there's the knee on the neck.
183,You call that a fight 10 against 1?
184,yeah you cant fight them inside their house...i tried one time and i ended up exactly like that dude in the rubber room stripped naked curled up on the floor like a baby
185,Oh snap here comes that knee on the neck
186,The cop has his knee on his neck!
187,"I see pure abusers, trained to treat humans like animals, it is obvious that they use steroids, they have no empathy for life, what a shame they become worse than an animal, a tranquilizer seems more practical to me than degrading the person. God will change all this, and everyone will pay for their actions, both criminals and police."
188,"Fighting with the cops while in custody is not smart. It is never going to end well. You have a problem, you discuss it with your attorney. Only fight police in the courtroom, where you have a chance at winning."
189,"What is he thinking,4 big cops and heâ€™s in handcuffs,,they were going to let him out.what a bonehead he showed them ðŸ˜‚"
190,if he had dealt with the Russian police he would not be alive after this
191,"Only 5 years ago on the Johns Hopkins website it stated that transgender was a mental illness ,,As per all the top doctors and councelers in the world,,,,But now because the woke government put pressure on them they have changed there outlook,,,Now all of a sudden there more woman than natural born women......Apparently all the geniuses were wrong..."
192,Amazing a knee to the neck to hold him down and no problem breathing.
193,If I found someone in my car I would think they were laying in wait to kidnap me.
194,"OMG, SEE THAT ROGUE OFFICER PUNCHING HIM IN THE GUT, THATâ€™S NOT LEGAL, NOR WOULD BE GRABBING HIM WITH HIS NECK HALF TWISTED. HOW ARE THESE COPS EVEN TRAINED?"
195,These police violate peoples rights so much lol
196,"1:40 The way the sheriff said, ""YERR UNDERR ARRREST"". After the handcuffs clicked. Well done for all of our police officers."
197,"9:39 Does anyone know the outcome, if the guy actually served his mandatory five year sentence or was he let out early or did he spend more than five years in prison. Obviously he is a dangerous and violent criminal and I am glad that he was taken off the streets."
198,"To obtain a search warrant, the officer must present the case to a judge who will decide whether to issue a warrant. And I don't think the police have clean flour in the bag either, who hasn't been disobedient when you were young or older....."
199,San Berdo is now stop and frisk? I hope that pill kid got off. That's BS policing.
200,"If Biden didn't rate waste over $100 Billion to fund the Ukraine war and spent that money locally instead, these people would all be in accommodation right now."
201,"So by the quality, I would say this is probably early 2000s maybe even before that. Cops haven't moved too far from this time, from other videos I've watched. At minute 10:00, they saw some young kids walking across the street, looking around at everything. Don't know what business they have in the city, might just be kids coming into the parking lot to shop. Direct quote. So cops are oppressors. Isn't that the conclusion? What do you care, or have to care, about what some person is walking, doing in your city and what are they about? He literally added - they might be just shopping. Yeah. Yeah. They might be just shopping. :D Bro, cops in America probably have nothing to do all day and randomly pointing and some people and oh yeah, we hit the jackpot of crimes. :D Not that they have suspicion or anything before hand but yeah, look at what we got, and they are like - we are pros. We knew the whole time. :D"
202,"That blonde haired cop in the first video was a little overzealous with the arrest. Putting the guy in a headlock and punching him all the while saying ""stop resisting"" when he was the aggressor."
203,17:40. His Brain Is Already JE LLO ðŸ¥´ðŸ¤¤ IF He Has One ðŸ˜…ðŸ˜‚ðŸ˜…
204,14:20 Hey Man You Said You Need My Pants For 3 DaysðŸ˜® Has Been 2 Months. I WANT MY PANTS BACK MAN ðŸ˜®ðŸ˜ ðŸ˜¡ðŸ˜›ðŸ˜›ðŸ˜›ðŸ˜›
205,"9:42 ""Enjoy your last breath of fresh air for a while"" ðŸ¤£"
206,1:15 WWE? John cena
207,"Drug War exist to enrich JUDGES, COP & LAWYERs"
208,It is NORMAL human reaction to resist when violently attack so COPs act aggressively for pretext to arrest. My opinion
209,so ahole cops escalate just to arrest. My opinion
210,"1:50 the way the cop just said ""You're under arrest"" after kneeing his face into the ground while slapping cuffs on sounded so sarcastic i couldnt help but laughðŸ˜­"
211,Do people out west not know what a belt is???? Why go around pulling up their pants instead of blowing their money go buy a BELT.
212,"How are you helping saying turn away from me ,put your hands Locked on your head spread your legs . Cringe !!! The lies of a police man"
213,"Listen i wouldn't ever resist arrest but i would tense up and move around if suddenly someone came running at me yelling and caught me off guard. Sometimes i think ""resisting arrest ' is like ""i smell marijuana""."
214,I am extra drug addict and I quit taking drugs about 20 years it is not worth it to lose your life over drugs
215,"I love the ""they're not my pants"" excuse. Lol"
216,"Why is it every time cops yell into their radio â€œgot one fighting!â€, theyre the only ones punching and kicking anybody, trying to twist limbs off n stuff? Nobodyâ€™s ever punching them or trying to hurt them in any way. I donâ€™t think cops know what a fight is. If you â€œtense up on themâ€, which sometimes just means not allowing you wrists to be pushed up between your friggin shoulders, they think youâ€™re fighting. No, yâ€™all are the only ones fighting. They think youâ€™re supposed to stand still with your chin out n let them punch you in the face. And any effort made to try to minimize the injury they do to you is fighting . And they usually charge you for it."
217,Guy w the gun should get a felony charge. No excuse for that.
218,What does SHALE not be infringed mean?
219,"I swear if they don't get charged for that, and this poor dude gets charges as cool as he's been being a peacemaker I loose all faith in law enforcement that's bogus bs. No gun charges for a brother caretaking for his sibling like really wow."
220,"Having their child lives in the line, its somewhat understandable"
221,There is no situation so bad that it cannot be made worse by the presence of law enforcement.
222,Edited video leaving out the important police brutality.
223,apparently not enough police forces onsite.
224,"I'm sure that bringing a gun to a school on lockdown, running at police, and trying to run into the active treat could only end well"
225,the parents showed up and made it worst
226,do not argue with the police. Obey all commands quietly.
227,That is one loyal family. Just too bad they are defending a relative who is a school shooter
228,Idk whatâ€™s the right answer. I think I would have brought a gun too honestly if there was a school shooter at my kids school. I think they had every right to show up but I also respect how quickly the officers responded.
229,"It was a f'ing parent. 
 LMFAO... scumbags"
230,The officers here did a great job! I get that emotions are high from parents/family members but showing up with a gun to a school that has reports of a subject with a gun...that may not have been the best idea.
231,Thats some bs. He was probably packing to defend himself and his family member in the school becuase we know the cops usually choke and dont protect the kids.
232,Thatâ€™s BS. The police department is at fault. ðŸ’¯
233,"Why those cops are such p$$ies whene a gun is involved, thia is the norm in the US. Such pusss"
234,"This type of thing wouldnâ€™t happen if we actually held criminals responsible for their actions. We have so many instances of criminals escaping penalties that people now feel that they have to take the law into their own hands and protect their children, because even if the police arrest someone, they donâ€™t suffer adequate consequences."
235,"These people need to understand thereâ€™s police inside, police with a perimeter outside, and they have said thereâ€™s no shooter in the building. Get a grip the situation is under control."
236,Ghetto Hispanics!!
237,"Police have proved to us that they will let our children die before running inside the building. This is what happens when parents donâ€™t trust law enforcement. If this was my kids school, Iâ€™d be RUNNING through the doors. People will do ANYTHING to protect their babies. Being arrested for that is horrible"
238,Maybe if hundreds of police in uvalde with guns hadnâ€™t shown restraint parents wouldnâ€™t have had reason to show force.
239,Uvalde destroyed what little remaining confidence or trust most of us have in our police actually protecting children in schools.
240,"Castanada needs to go to jail, his mom needs rehab"
241,Victor is a goofy
242,All the wack LA Families need to go back home I rent homes and employ 30 plus people I deal with 100 customers a day AND I WONT EMPLOY SELL ANYTHING OR RENT TO THEM THIS IS WHY ACTING LIKE SUPERMAN ST A FKN SCHOOL YOUR NOT TOUGH YOU GOT RAN OFF YOUR OWN STATE ðŸ˜‚
243,This guy feels he can do what ever he wantsâ€¦be respectful when interacting with police itâ€™s the right thing to doâ€¦people canâ€™t do whatever they want our whole civilization would crumbleâ€¦ppl have to follow the â€œrules/lawsâ€.
244,Whatâ€™s this trend as of late where citizens think they can tell cops â€œdonâ€™t put your hands on meâ€
245,"In a way, the family members were clearly not thinking about their kids when they decided to act out against the police which resulted in two people being arrested. Imagine being a student that was locked down only to find out later that day that your parent or sibling was arrested for their actions on school property, gosh that would be embarrassing. I understand the parents fear but they can't act out, there should've been a meetup spot for everyone. I'm surprised they were allowed to go to the front entrance in the first place, I know parents were fearful for their kids but they should know they can't exactly just walk into the school and take matters into their own hands."
246,"If an actual school shooter was there, these guys would be wasting resources, eventually increasing the chances their kids get shot."
247,So they are looking for an unknown possible shooter and the guy wants to jump a fence to go into the school? Yeah real smart.
248,How hard is it to shut up and comply?
249,Pubic Skiiiiizzzooollll... what is this world coming to? I weep for the future bit I applaud the amount of care Davis has for his family...
250,"The difference between this and Uvalde is that police showed up in a timely manner and EXPLAINED to the waiting parents that there was NO GUNMAN inside and the kids were SAFE. Don't be an ignorant leftist, jesus christ."
251,Get a good holster people
252,I donâ€™t condone their behaviorâ€¦.but you can understand how terrified parents are for their childrenâ€¦â€¦we are a country where children. Our most precious possession are murdered in their schools and the government does virtually nothingâ€¦..care more about guns than childrenâ€¦..and allow guns to get into the hands of people who shouldnâ€™t have them.
253,Well with the debacle in Uvalde can you really blame the parents? The days of waiting for you guys are done yo's
254,Specially in Arizona Where everyone is Armed of course there's going to be a response like this
255,Police are there to keep the shooter safe from the community.
256,People should start homeschooling their children. That will solve the problem of school shootings.
257,Leave it to parents and family to absolutely blow things out of proportion.
258,Why bring a firearm on school grounds? Thatâ€™s plain stupidity and he has to be revoked the license to own any firearms.
259,What on earth is wrong with people America is a frightening place if you ask me America just seems like a scary place to be that's why I can't understand how people can pay money to go on holiday there and owe my god all them police there and the geezer has a hand gun what a complete whopper little muppet I can't believe it ðŸ˜®
260,"I was gonna be on the parents and siblings side because I know they were beyond worried for the safety of their family members. I still am but not a great idea to bring a gun to a school where officers are, with guns, looking for a gunman."
261,Do all these people not have jobs ðŸ˜‚
262,What a couple of fkkn idiotsðŸ˜‚ðŸ˜‚ðŸ˜‚
263,Did they ever found out who was trying to get in?
264,These people are peasants
265,Both idiots
266,"for whatever reason, dont run towards an officer hostile-y"
267,I understand your a concerned parent but don't bring an illegal hand gun numbnut. He could've been the guy trying to get in.
268,The parents should have acted more civilized tho
269,My thoughts are that I think the reason that guy had a gun was because he mabye new that he was going to go in that school to try to be a hero and get his kids
270,"If only parents were able to do this in Uvalde, perhaps the police would've manned up and gone in."
271,Hate to say it. But as a parent I would be losing my mind too. With all these shootings these days people are on edge.
272,why people have to be so irrational
273,"2:50 okayâ€¦ as someone who studies gun safety, and as someone whose family has concealed carry licenses, and they all constantly practice proper gun safety to the fullest extent, one thing you do when even NEAR a school is you donâ€™t have a weapon on person. That is one of the DUMBEST things you can do. You leave it in your car in a locked compartment, separate the magazine and secure that elsewhere in the car, and you lock your car."
274,"If my kid were in that school, I would not want fools disrupting police from doing there job."
275,The man with the blue shirt is suspecious . He was the first person on the scene.
276,Can we let the police do their job without whacked out parents interrupting?
277,Im kinda sorry but some of these parents look like they do meth.
278,Why does he call the cop a bro? Is that his brother?
279,Way to actually make it unsafe for your children people..
280,"If my son is in there, I don't care I'm getting into the school even if I have to shoot someone to get them out my way."
281,The matter of fact the guy in the blue shirt was always pressuring he was pressuring a lot for some reason it was suss and he had a gun and you can own a gun with he's like 22 so he like on a gun but you pressuring stuff you're going like to get into school even though they said it's safe it's like go it's like really sucks because if you did when they go into the fence they actually
282,I understand not letting people in the school. If they let one they have to let everyone and next thing you know the killer has entered the school. Or an unruly fool like this guy with the gun has entered. Police did the right thing here.
283,shoot dem foolz
284,This is exactly what happens when police officers betray the trust of We The People Iâ€™m looking at you Uvalde PD
285,It's sad this is what the world has come to.
286,I understand parent are shaken...but you also have to understand police are trying to right the wrongs.
287,Iâ€™m sorry but the worst thing you can do in this situation is take a gun to the school while officers are already there
288,"Great, now families are going to be the problem. Theyâ€™re creating a bigger issue. They all think they are the most important person out there and that they have the right to interfere. Dang!"
289,"Hey, Uvalde cowboy hat wearing pussies, this is how you handle a school shooting situation"
290,"Bringing a gun in this situation, is like bringing a gas can to burning building ðŸ¤­ðŸ¤­ðŸ¤­ðŸ¤£ðŸ¤£ðŸ¤£"
291,"1st thing. AWESOME response time by officers! They secured the scene. My question is though, why were all the parents not informed better of what was happening and why wasn't a perimeter set up for them not to approach the school like this? This could've been the perfect storm for a gunmen who really wanted to inflict pain that day. Too much chaos and confusion!"
292,"friendly reminder that cops have no legal right to ""protect and serve"""
293,maybe the cops should let the family members inside once just to see what happens
294,"Bro, not the time to joke about Ohio. There are kids that lost there lives in Ohio from school shooting. I had a kid that died in Ohio from a school shooting. Got shot."
295,"People these day making joke about""only in ohio"" while innocent kid dies these people doesn't even care"
296,"Cant even go to school in Ohio ðŸ’€ 
 But in all seriousness, great job responding to the situation, great how you handled the situation!"
297,"Sad thing is, it's hard to tell if this isn't some convoluted police PR stunt trying to save face, or just another day"
298,Funny how the school police officer barely turn on his radio to listen to the call just imagine if it wasnâ€™t a false alarm.
299,This should be used as a training/disclaimer video to show police officers how theyâ€™re supposed to respond to an active shooting call rather than waiting outside and sanitizing their hands.
300,"Iâ€™m glad to see thereâ€™s officers in Ohio that will openly go into danger without hesitation, but it also is annoying asf to see that itâ€™s a false call, due to someone squatting the school."
301,I can't help but think that they already knew that it was not real just so they can flex to make up for the Texas shooting. I wouldn't put it beyond anybody to do something like that. I'm sorry if nobody here's my opinion about it.
302,"Lock these fools, that are making these calls, up."
303,"People who make swatting calls, need to be charged with attempted murder."
304,Uvalde needed these types of cops
305,A hacker wanted to test the time!! I bet you money
306,Thos who call fake school shootings should get life in prison
307,"Now that's a breath of fresh air these cops aren't scared like some cops when it comes to calls like this or another type of call, it was a fake call but they didn't know that at the time an they ran right in boom that's how Ohio does it baby not scraed there."
308,How did nothing come through on the SRO deputy radio?
309,Itâ€™s almost like they know better than to stand around sanitizing their hands for half an hourâ€¦
310,"Oooh , here come the rough and tough guys with guns ."
311,"You would think one of the first calls would be to the SRO at the school who is clearly on a different radio channel. The fact that all these officers had time to respond and the SRO was in the school the whole time oblivious to the call, hoax or not, is a huge issue."
312,theyll never get credit for this but good job anyway
313,Clearly not uvalde cops
314,clearly not Texas officers
315,"these cops are all; ""THIS ISNT UVALDEEEEE!"""
316,The metal detector let's me know that this must be a great educational facility lol.
317,"In an actual shooter scenario the 911 operators will receive multiple calls from multiple people. In a false call they will just get the one call. By the time the police arrive, they pretty much know if it's real or not."
318,Make sure you're always on alert. This might have been a test for if the person plans on doing the real thing and they need to know your response time. It's sad that it might actually be true. I pray it doesn't happen. Thank you police for being there without hesitation
319,"If nothing else, it makes for a good training exercise. Hopefully they don't get complacent though."
320,They did not hesitate. Great Job Heros!
321,Whoever called that in needs to be hung in the center of town to set an example for decades to come.
322,At least they actually rushed in instead of waiting outside for an hour while the shooter kills everyone.
323,Whatâ€™s BEEF?
324,AFRAID. Just how they roll
325,"This guy was well known, as well as his situation and potential threat, yet it was completely ignored. The system failed."
326,Cowards
327,"This is the Ar-15 effect. Cops are trained to go into danger but they're also human and don't want to be cut in half if confronting a shooter with a weapon of war.
 I know, I know... the Ar-15 isn't exactly a weapon of war, but it is modeled after the M-16 which certainly is a weapon of war.
 On the one hand, the cops are not doing their duty but on the other hand, I can commiserate."
328,Thats there job to confront dangerous situation. They should have removed his guns. This is because men always minimize everything.
329,"Yt privilege ðŸ˜‚ they have the nerve to try to scare us of a threat from hamas and south of the border, Iâ€™m more concerned about white homegrown terrorists than anyone else"
330,If you listen closely it sounds like tom's yell.When his fingers get slammed in the piano.
331,He was driving a Kia Sorrento.
